date,name,code,close,volume,momentum_20d,rsi_14,ma_cross_5_20
2026-08-19,KODEX 반도체,091160,42605,741784,0.1017,57.4,golden
2026-08-20,KODEX 반도체,091160,42654,991374,0.083,65.8,golden
2026-08-21,KODEX 반도체,091160,42644,992693,0.1035,72.3,golden
2026-08-24,KODEX 반도체,091160,43380,667109,0.1183,53.1,golden
2026-08-25,KODEX 반도체,091160,43840,911425,0.1201,66.0,golden
2026-08-26,KODEX 반도체,091160,43970,730613,0.108,69.8,golden
2026-08-27,KODEX 반도체,091160,44063,1160269,0.1111,59.7,golden
2026-08-19,TIGER 반도체,091230,41767,830851,0.1152,59.5,golden
2026-08-20,TIGER 반도체,091230,41933,556203,0.0911,52.7,golden
2026-08-21,TIGER 반도체,091230,42297,798429,0.0988,61.1,golden
2026-08-24,TIGER 반도체,091230,43128,698092,0.0907,58.9,golden
2026-08-25,TIGER 반도체,091230,43689,784523,0.1137,75.4,golden
2026-08-26,TIGER 반도체,091230,42822,704764,0.0925,66.4,golden
2026-08-27,TIGER 반도체,091230,43540,501698,0.09,66.8,golden
2026-08-19,TIGER Fn반도체TOP10,396500,18658,3583120,0.1092,60.7,golden
2026-08-20,TIGER Fn반도체TOP10,396500,18658,2587757,0.1449,66.5,golden
2026-08-21,TIGER Fn반도체TOP10,396500,18718,3407392,0.098,59.3,golden
2026-08-24,TIGER Fn반도체TOP10,396500,18589,2944333,0.1263,65.4,golden
2026-08-25,TIGER Fn반도체TOP10,396500,18914,2992194,0.1144,66.4,golden
2026-08-26,TIGER Fn반도체TOP10,396500,18882,3484387,0.117,61.5,golden
2026-08-27,TIGER Fn반도체TOP10,396500,18892,4150601,0.1075,71.2,golden
2026-08-19,KODEX 2차전지산업,305720,9621,1689295,-0.0574,37.4,dead
2026-08-20,KODEX 2차전지산업,305720,9622,1703813,-0.0639,33.2,dead
2026-08-21,KODEX 2차전지산업,305720,9577,1422647,-0.0754,36.9,dead
2026-08-24,KODEX 2차전지산업,305720,9547,2222375,-0.0689,49.6,dead
2026-08-25,KODEX 2차전지산업,305720,9578,1672772,-0.0815,39.7,dead
2026-08-26,KODEX 2차전지산업,305720,9581,1593167,-0.0856,44.6,dead
2026-08-27,KODEX 2차전지산업,305720,9289,1325900,-0.048,42.6,dead
2026-08-19,TIGER 2차전지테마,305540,19492,690662,-0.0638,43.2,dead
2026-08-20,TIGER 2차전지테마,305540,19280,746505,-0.0911,41.2,neutral
2026-08-21,TIGER 2차전지테마,305540,19290,825648,-0.0765,43.8,dead
2026-08-24,TIGER 2차전지테마,305540,18705,901113,-0.0529,39.6,dead
2026-08-25,TIGER 2차전지테마,305540,18949,703590,-0.0711,38.2,dead
2026-08-26,TIGER 2차전지테마,305540,18762,807621,-0.0667,41.0,neutral
2026-08-27,TIGER 2차전지테마,305540,18987,681560,-0.0335,43.8,dead
2026-08-19,TIGER 2차전지소재Fn,462010,8612,568416,-0.0439,49.2,neutral
